盛源公寓,3室2厅  ,115.7,浦东,低区/6层,朝南北,650,56179,2003年建
中大苑,1室1厅  ,40.64,浦东,中区/6层,朝南,245,60285,1996年建
地杰国际城,3室2厅  ,135.37,浦东,中区/18层,朝南北,910,67223,2006年建
潍坊四村,1室0厅  ,41.9,浦东,低区/6层,朝南北,310,73985,1981年建
浦江东旭公寓,2室1厅  ,79.82,浦东,低区/18层,朝南,390,48859,2009年建
香楠小区,2室1厅  ,76.54,浦东,高区/6层,朝南北,460,60099,
曙光苑,3室2厅  ,134.12,浦东,中区/7层,朝南北,540,40262,
品臻国际公寓,2室1厅  ,67.69,浦东,高区/19层,朝南,315,46535,
东陆新村六街坊,2室1厅  ,64.0,浦东,高区/6层,朝南,330,51562,1995年建
金杨二街坊,2室1厅  ,60.06,浦东,低区/6层,朝南,380,63270,
德州二村,1室1厅  ,32.0,浦东,中区/5层,朝南,210,65625,1985年建
新沪东公寓,2室1厅  ,92.83,浦东,低区/18层,朝南,560,60325,2006年建
仁恒广场,2室1厅  ,80.67,浦东,低区/21层,朝东,470,58262,1995年建
临沂六村,1室1厅  ,40.0,浦东,高区/6层,朝南,235,58750,
上泰花苑,2室2厅  ,84.21,浦东,低区/6层,朝南,510,60562,1998年建
未来域,2室2厅  ,91.33,浦东,中区/11层,朝南北,630,68980,2006年建
东方知音苑,3室2厅  ,117.52,浦东,中区/7层,朝南北,1000,85091,2003年建
阳光二村,1室1厅  ,36.91,浦东,中区/6层,朝南,230,62313,1994年建
和憬家园,2室2厅  ,88.0,浦东,低区/7层,朝南北,450,51136,2009年建
博三小区,2室1厅  ,62.16,浦东,高区/6层,朝南,335,53893,1994年建
绿洲康城亲水湾,3室2厅  ,130.08,浦东,低区/14层,朝南北,720,55350,2010年建
中星海上景庭,3室2厅  ,155.33,浦东,中区/20层,朝西,1250,80473,
汤臣豪园（一期）,3室2厅  ,257.23,浦东,低区/13层,朝南,1380,53648,2002年建
济阳三村,1室1厅  ,42.65,浦东,高区/6层,朝南,238,55803,1988年建
恒大小区,2室1厅  ,65.67,浦东,低区/6层,朝南北,395,60149,1996年建
